Task,Status,Seconds,SourceSummary,Log,Attempts,AttemptHistory
testPerception,PASS,0.182824208333333,results/idd/regression_20260906_045748_028/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_045748_028/testPerception.txt,1,PASS
testTracking,PASS,0.0944014166666667,results/idd/regression_20260906_045748_028/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_045748_028/testTracking.txt,1,PASS
testOccupancy,PASS,0.716509583333333,results/idd/regression_20260906_045748_028/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_045748_028/testOccupancy.txt,1,PASS
testPlanning,PASS,1.14363733333333,results/idd/regression_20260906_045748_028/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_045748_028/testPlanning.txt,1,PASS
testACARG,PASS,0.144322291666667,results/idd/regression_20260906_045748_028/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_045748_028/testACARG.txt,1,PASS
testClosedLoop,PASS,3.81666916666667,results/idd/regression_20260906_045748_028/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_045748_028/testClosedLoop.txt,1,PASS
testPhase8Scenarios,PASS,27.3303942083333,results/idd/regression_20260906_045748_028/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_045748_028/testPhase8Scenarios.txt,1,PASS
testPhase9Robustness,PASS,97.3132885,results/idd/regression_20260906_045748_028/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_045748_028/testPhase9Robustness.txt,1,PASS
testRoadRunnerIntegration,PASS,0.359252875,results/idd/regression_20260906_050429_649/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/testRoadRunnerIntegration.txt,2,FAIL -> PASS
testPhase11Evaluation,PASS,108.458315875,results/idd/regression_20260906_045748_028/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_045748_028/testPhase11Evaluation.txt,1,PASS
testPhase12Demo,PASS,109.293180708333,results/idd/regression_20260906_045748_028/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_045748_028/testPhase12Demo.txt,1,PASS
testIDDIntegration,PASS,5.47671091666667,results/idd/regression_20260906_050429_649/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/testIDDIntegration.txt,2,BLOCKED_DISK -> PASS
mainPhase6,PASS,4.68330345833333,results/idd/regression_20260906_050544_825/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050544_825/mainPhase6.txt,3,BLOCKED_DISK -> FAIL -> PASS
mainPhase7,PASS,7.40320333333333,results/idd/regression_20260906_050544_825/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050544_825/mainPhase7.txt,3,BLOCKED_DISK -> FAIL -> PASS
mainPhase8,PASS,40.9905604583333,results/idd/regression_20260906_050544_825/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050544_825/mainPhase8.txt,3,BLOCKED_DISK -> FAIL -> PASS
mainPhase9,PASS,115.800129375,results/idd/regression_20260906_050544_825/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050544_825/mainPhase9.txt,3,BLOCKED_DISK -> FAIL -> PASS
mainPhase10,PASS,0.28283925,results/idd/regression_20260906_050429_649/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase10.txt,2,BLOCKED_DISK -> PASS
mainPhase11,PASS,111.525828291667,results/idd/regression_20260906_050429_649/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase11.txt,2,BLOCKED_DISK -> PASS
mainPhase12,PASS,26.0634792916667,results/idd/regression_20260906_050429_649/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase12.txt,2,BLOCKED_DISK -> PASS
mainPhase12_5,PASS,1.89474833333333,results/idd/regression_20260906_050429_649/regression_summary.csv,/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase12_5.txt,2,BLOCKED_DISK -> PASS
