Task,Status,Seconds,FreeGBBefore,Detail,Log
testRoadRunnerIntegration,PASS,0.359252875,5.52263641357422,"",/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/testRoadRunnerIntegration.txt
testIDDIntegration,PASS,5.47671091666667,5.47737121582031,"",/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/testIDDIntegration.txt
mainPhase6,FAIL,1.7063785,5.22524261474609,"Output argument ""failure"" (and possibly others) not assigned a value in the
execution with ""runIDDRegressionAudit>execute"" function.

Error in runIDDRegressionAudit (line 28)
            [output,failure]=execute(name);status=""PASS"";
                             ^^^^^^^^^^^^^",/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase6.txt
mainPhase7,FAIL,4.799075375,5.22379684448242,"Output argument ""failure"" (and possibly others) not assigned a value in the
execution with ""runIDDRegressionAudit>execute"" function.

Error in runIDDRegressionAudit (line 28)
            [output,failure]=execute(name);status=""PASS"";
                             ^^^^^^^^^^^^^",/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase7.txt
mainPhase8,FAIL,25.0324345416667,5.23504257202148,"Output argument ""failure"" (and possibly others) not assigned a value in the
execution with ""runIDDRegressionAudit>execute"" function.

Error in runIDDRegressionAudit (line 28)
            [output,failure]=execute(name);status=""PASS"";
                             ^^^^^^^^^^^^^",/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase8.txt
mainPhase9,FAIL,121.498774458333,5.18628311157227,"Output argument ""failure"" (and possibly others) not assigned a value in the
execution with ""runIDDRegressionAudit>execute"" function.

Error in runIDDRegressionAudit (line 28)
            [output,failure]=execute(name);status=""PASS"";
                             ^^^^^^^^^^^^^",/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase9.txt
mainPhase10,PASS,0.28283925,7.53575897216797,"",/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase10.txt
mainPhase11,PASS,111.525828291667,7.53573989868164,"",/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase11.txt
mainPhase12,PASS,26.0634792916667,7.75443267822266,"",/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase12.txt
mainPhase12_5,PASS,1.89474833333333,8.51221466064453,"",/Users/aditya1981/Downloads/SIH_Ps37/results/idd/regression_20260906_050429_649/mainPhase12_5.txt
