Experiment,Mode,Condition,DetectionConfidence,PhysicalDistance,CPADistance,CPATime,ClassWeight,ActorRisk,AdaptiveScale,GovernorState,SpeedScale,BaseExtentX,BaseExtentY,EffectiveExtentX,EffectiveExtentY
CONFIDENCE,FULL_ACARG,0.95,0.95,NaN,NaN,NaN,NaN,0.550604240234285,2.19108763242171,CAUTIOUS,0.65,NaN,NaN,NaN,NaN
CONFIDENCE,FULL_ACARG,0.8,0.8,NaN,NaN,NaN,NaN,0.578079669359423,2.24054340484696,CAUTIOUS,0.65,NaN,NaN,NaN,NaN
CONFIDENCE,FULL_ACARG,0.6,0.6,NaN,NaN,NaN,NaN,0.625258928954035,2.32546607211726,CAUTIOUS,0.65,NaN,NaN,NaN,NaN
CONFIDENCE,FULL_ACARG,0.4,0.4,NaN,NaN,NaN,NaN,0.682672692615237,2.42881084670743,CAUTIOUS,0.65,NaN,NaN,NaN,NaN
CONFIDENCE,NO_CONFIDENCE_EFFECT,0.95,0.95,NaN,NaN,NaN,NaN,0.550604240234285,2.19108763242171,CAUTIOUS,0.65,NaN,NaN,NaN,NaN
CONFIDENCE,NO_CONFIDENCE_EFFECT,0.8,0.8,NaN,NaN,NaN,NaN,0.550604240234285,2.19108763242171,CAUTIOUS,0.65,NaN,NaN,NaN,NaN
CONFIDENCE,NO_CONFIDENCE_EFFECT,0.6,0.6,NaN,NaN,NaN,NaN,0.550604240234285,2.19108763242171,CAUTIOUS,0.65,NaN,NaN,NaN,NaN
CONFIDENCE,NO_CONFIDENCE_EFFECT,0.4,0.4,NaN,NaN,NaN,NaN,0.550604240234285,2.19108763242171,CAUTIOUS,0.65,NaN,NaN,NaN,NaN
CPA,FULL_ACARG,Closer moving away,NaN,10,10,0,NaN,0.190027878831773,NaN,N/A,NaN,NaN,NaN,NaN,NaN
CPA,NO_CPA_EFFECT,Closer moving away,NaN,10,10,0,NaN,0.190027878831773,NaN,N/A,NaN,NaN,NaN,NaN,NaN
CPA,DISTANCE_ONLY,Closer moving away,NaN,10,10,0,NaN,0.716531310573789,NaN,N/A,NaN,NaN,NaN,NaN,NaN
CPA,FULL_ACARG,Farther collision course,NaN,18.9736659610103,0,4.5,NaN,0.412378153572625,NaN,N/A,NaN,NaN,NaN,NaN,NaN
CPA,NO_CPA_EFFECT,Farther collision course,NaN,18.9736659610103,0,4.5,NaN,0.117058730987043,NaN,N/A,NaN,NaN,NaN,NaN,NaN
CPA,DISTANCE_ONLY,Farther collision course,NaN,18.9736659610103,0,4.5,NaN,0.531285609132968,NaN,N/A,NaN,NaN,NaN,NaN,NaN
ACTOR_CLASS,FULL_ACARG,car,NaN,18.9736659610103,NaN,NaN,1,0.412378153572625,1.94228067643073,N/A,NaN,NaN,NaN,NaN,NaN
ACTOR_CLASS,FULL_ACARG,pedestrian,NaN,18.9736659610103,NaN,NaN,1.5,0.618567230358938,2.31342101464609,N/A,NaN,NaN,NaN,NaN,NaN
ACTOR_CLASS,FULL_ACARG,cattle,NaN,18.9736659610103,NaN,NaN,1.625,0.670114499555516,2.40620609919993,N/A,NaN,NaN,NaN,NaN,NaN
ACTOR_CLASS,NO_CLASS_WEIGHTING,car,NaN,18.9736659610103,NaN,NaN,1,0.412378153572625,1.94228067643073,N/A,NaN,NaN,NaN,NaN,NaN
ACTOR_CLASS,NO_CLASS_WEIGHTING,pedestrian,NaN,18.9736659610103,NaN,NaN,1,0.412378153572625,1.94228067643073,N/A,NaN,NaN,NaN,NaN,NaN
ACTOR_CLASS,NO_CLASS_WEIGHTING,cattle,NaN,18.9736659610103,NaN,NaN,1,0.412378153572625,1.94228067643073,N/A,NaN,NaN,NaN,NaN,NaN
ADAPTIVE_ENVELOPE,FIXED_MARGIN_BASELINE,Stable car,NaN,NaN,NaN,NaN,NaN,0.412378153572625,1,N/A,NaN,3.25,1.8,3.25,1.8
ADAPTIVE_ENVELOPE,FULL_ACARG,Stable car,NaN,NaN,NaN,NaN,NaN,0.412378153572625,1.94228067643073,N/A,NaN,3.25,1.8,6.31241219839986,3.49610521757531
ADAPTIVE_ENVELOPE,FIXED_MARGIN_BASELINE,Low-confidence pedestrian,NaN,NaN,NaN,NaN,NaN,0.75063568273989,1,N/A,NaN,3.3,3.3,3.3,3.3
ADAPTIVE_ENVELOPE,FULL_ACARG,Low-confidence pedestrian,NaN,NaN,NaN,NaN,NaN,0.75063568273989,3.18893028616475,N/A,NaN,3.3,3.3,10.5234699443437,10.5234699443437
ADAPTIVE_ENVELOPE,FIXED_MARGIN_BASELINE,Crossing cattle,NaN,NaN,NaN,NaN,NaN,0.699879547774416,1,N/A,NaN,3.25,2.55,3.25,2.55
ADAPTIVE_ENVELOPE,FULL_ACARG,Crossing cattle,NaN,NaN,NaN,NaN,NaN,0.699879547774416,2.45978318599395,N/A,NaN,3.25,2.55,7.99429535448033,6.27244712428457
