Scenario,Source,Time,PreviousState,NewState,TotalRisk,RelevantThreshold,DominantActor,DominantActorRisk,DesiredSpeedBefore,DesiredSpeedAfter,ReplanTriggered
Unmarked Village Road,BENCHMARK,6.4,NORMAL,CAUTIOUS,0.352277072780542,0.35,301,0.352277072780542,6,3.9,0
Unmarked Village Road,BENCHMARK,16.6,CAUTIOUS,NORMAL,0.249729437698377,0.25,301,0.249729437698376,3.9,6,0
Unsignalized Urban Intersection,BENCHMARK,6.2,NORMAL,CAUTIOUS,0.380057099553643,0.35,401,0.3561865951133,7.5,4.875,0
Unsignalized Urban Intersection,BENCHMARK,6.6,CAUTIOUS,NORMAL,0.238445037366631,0.25,401,0.2063195558448,4.875,7.5,0
Unsignalized Urban Intersection,BENCHMARK,9,NORMAL,CAUTIOUS,0.379598533196752,0.35,401,0.336284156707478,7.5,4.875,1
Highway Slow-Vehicle Merge,BENCHMARK,1.4,NORMAL,CAUTIOUS,0.385681626474419,0.35,502,0.298688379004162,7.5,4.875,1
Highway Slow-Vehicle Merge,BENCHMARK,1.8,CAUTIOUS,NORMAL,0.241878402077256,0.25,502,0.133104861395124,4.875,7.5,0
Highway Slow-Vehicle Merge,BENCHMARK,5.4,NORMAL,CAUTIOUS,0.361282456439381,0.35,502,0.205585674464774,7.5,4.875,1
Highway Slow-Vehicle Merge,BENCHMARK,14.4,CAUTIOUS,NORMAL,0.24784434639771,0.25,502,0.14100070456474,4.875,7.5,0
Dense Mixed-Traffic Market,BENCHMARK,6.6,NORMAL,CAUTIOUS,0.434094536176157,0.35,601,0.423785031860536,5,3.25,0
Dense Mixed-Traffic Market,BENCHMARK,7.6,CAUTIOUS,NORMAL,0.243956998229781,0.25,601,0.228238376521774,3.25,5,1
Dense Mixed-Traffic Market,BENCHMARK,8,NORMAL,CAUTIOUS,0.36359325513111,0.35,601,0.349683751091092,5,3.25,0
Dense Mixed-Traffic Market,BENCHMARK,9,CAUTIOUS,NORMAL,0.245340067650676,0.25,601,0.226812525252093,3.25,5,1
Dense Mixed-Traffic Market,BENCHMARK,9.4,NORMAL,CAUTIOUS,0.424226134298247,0.35,601,0.409425410378519,5,3.25,0
Dense Mixed-Traffic Market,BENCHMARK,11.2,CAUTIOUS,NORMAL,0.240965734581281,0.25,601,0.217656814170912,3.25,5,0
Dense Mixed-Traffic Market,BENCHMARK,12,NORMAL,CAUTIOUS,0.355874465605114,0.35,601,0.334085865048068,5,3.25,1
Dense Mixed-Traffic Market,BENCHMARK,17.2,CAUTIOUS,NORMAL,0.248249152441815,0.25,601,0.206974666871852,3.25,5,1
Sudden Cattle Crossing,BENCHMARK,6.2,NORMAL,CAUTIOUS,0.560619962629039,0.35,701,0.560619962629039,7.5,4.875,0
Sudden Cattle Crossing,BENCHMARK,13.2,CAUTIOUS,CONSERVATIVE_STOP,0.703692431603923,0.7,701,0.703692431603923,4.875,0,0
