Time,Type,Description,VideoTime
0,REPLAN,PATH UPDATED: No active path.,1.5
3,REPLAN,PATH UPDATED: Maximum replanning interval elapsed.,4.5
3.4,STATE,NORMAL > CAUTIOUS,4.9
4.8,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,6.3
7.6,REPLAN,PATH UPDATED: Risk changed significantly.,9.1
9.8,STATE,CAUTIOUS > NORMAL,11.3
9.8,RECOVERY,Governor relaxes after risk falls,11.3
9.8,REPLAN,PATH UPDATED: Governor state changed. / Risk changed significantly.,11.3
13,REPLAN,PATH UPDATED: Maximum replanning interval elapsed.,14.5
15.6,GOAL,Goal reached,17.1
