Time,Type,Description,VideoTime
0,REPLAN,PATH UPDATED: No active path.,1.5
2.6,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,4.1
2.8,STATE,NORMAL > CAUTIOUS,4.3
3,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,4.5
3.2,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,4.7
3.6,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,5.1
3.8,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,5.3
4,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,5.5
4.8,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,6.3
5.2,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,6.7
5.6,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,7.1
5.8,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,7.3
6,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,7.5
6.4,REPLAN,PATH UPDATED: Upcoming active path is unsafe.,7.9
6.6,REPLAN,PLAN FAILED: Upcoming active path is unsafe.,8.1
6.6,PATH,Path unsafe; braking commanded,8.1
6.6,STOP,Zero target speed commanded,8.1
6.8,REPLAN,PLAN FAILED: No active path.,8.3
7,REPLAN,PLAN FAILED: No active path.,8.5
7.2,REPLAN,PLAN FAILED: No active path.,8.7
7.4,REPLAN,PLAN FAILED: No active path.,8.9
7.6,REPLAN,PLAN FAILED: No active path.,9.1
7.8,REPLAN,PLAN FAILED: No active path.,9.3
8,REPLAN,PLAN FAILED: No active path.,9.5
8.2,REPLAN,PLAN FAILED: No active path.,9.7
8.4,REPLAN,PLAN FAILED: No active path.,9.9
8.6,REPLAN,PLAN FAILED: No active path.,10.1
8.8,REPLAN,PLAN FAILED: No active path.,10.3
9,REPLAN,PLAN FAILED: No active path.,10.5
9.2,REPLAN,PLAN FAILED: No active path.,10.7
9.4,REPLAN,PLAN FAILED: No active path.,10.9
9.6,REPLAN,PLAN FAILED: No active path.,11.1
9.8,REPLAN,PLAN FAILED: No active path.,11.3
10,REPLAN,PLAN FAILED: No active path.,11.5
10.2,REPLAN,PLAN FAILED: No active path.,11.7
10.4,REPLAN,PLAN FAILED: No active path.,11.9
10.6,REPLAN,PLAN FAILED: No active path.,12.1
10.8,REPLAN,PLAN FAILED: No active path.,12.3
11,REPLAN,PLAN FAILED: No active path.,12.5
11.2,REPLAN,PLAN FAILED: No active path.,12.7
11.4,REPLAN,PLAN FAILED: No active path.,12.9
11.6,REPLAN,PLAN FAILED: No active path.,13.1
11.8,REPLAN,PLAN FAILED: No active path.,13.3
12,REPLAN,PLAN FAILED: No active path.,13.5
12.2,REPLAN,PLAN FAILED: No active path.,13.7
12.4,REPLAN,PLAN FAILED: No active path.,13.9
12.6,REPLAN,PLAN FAILED: No active path.,14.1
12.8,REPLAN,PLAN FAILED: No active path.,14.3
13,REPLAN,PLAN FAILED: No active path.,14.5
13.2,REPLAN,PLAN FAILED: No active path.,14.7
13.4,REPLAN,PATH UPDATED: No active path.,14.9
15.6,REPLAN,PATH UPDATED: Risk changed significantly.,17.1
18.8,REPLAN,PATH UPDATED: Maximum replanning interval elapsed.,20.3
19.2,STATE,CAUTIOUS > NORMAL,20.7
19.2,RECOVERY,Governor relaxes after risk falls,20.7
22,REPLAN,PATH UPDATED: Maximum replanning interval elapsed.,23.5
25.1999999999999,REPLAN,PATH UPDATED: Maximum replanning interval elapsed.,26.6999999999999
25.9999999999999,GOAL,Goal reached,27.4999999999999
