VideoID,Scenario,Phase,FileStem,Concept,SourceLog,AuthoritativeSource,ReplayMode,Outcome,Challenge
1,Unmarked Village Road,8,01_village_road,"Mixed traffic and adaptive risk",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/01_village_road.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,GOAL_REACHED,"A slow cart and laterally ambiguous pedestrian constrain a narrow unmarked travel corridor without lane assumptions."
2,Unsignalized Urban Intersection,8,02_urban_intersection,"Safe planning failure guard",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/02_urban_intersection.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,SAFE_TERMINATION,"Two crossing actors create predicted conflicts without signal logic."
3,Highway Slow-Vehicle Merge,8,03_highway_merge,"Prediction-aware merge",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/03_highway_merge.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,GOAL_REACHED,"A slow lead vehicle and moving lateral constraint create a merge conflict."
4,Dense Mixed-Traffic Market,8,04_dense_market,"Dense traffic and safe progress",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/04_dense_market.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,GOAL_REACHED,"Pedestrian and slow-car traffic generate simultaneous heterogeneous risks."
5,Sudden Cattle Crossing,8,05_cattle_crossing,"Crossing vulnerability and adaptive envelopes",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/05_cattle_crossing.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,READ_ONLY_PHASE12_CACHE,GOAL_REACHED,"Cattle approaches from outside the route and creates a sharp crossing risk."
6,Confidence Drop,9,06_confidence_drop,"Confidence and uncertainty awareness",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/06_confidence_drop.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,GOAL_REACHED,"A continuous pedestrian track receives low-confidence measurements, then recovers."
7,Temporary Detection Loss,9,07_detection_loss,"Missed detections and track uncertainty",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/07_detection_loss.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,GOAL_REACHED,"A moving auto is missed for six frames and later reappears with the same ID."
8,Sudden Direction Reversal,9,08_direction_reversal,"Direction-sensitive CPA",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/08_direction_reversal.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,SAFE_TERMINATION,"A pedestrian initially moves away, reverses, and crosses toward the ego corridor."
9,Multiple Simultaneous Risks,9,09_multiple_risks,"Scene-wide dominant risk selection",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/09_multiple_risks.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,GOAL_REACHED,"A car and pedestrian create overlapping, actor-specific crossing risks."
10,Temporary Path Obstruction,9,10_temporary_obstruction,"Temporary path obstruction",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/10_temporary_obstruction.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,GOAL_REACHED,"A long crossing vehicle temporarily invalidates the active route and then clears."
11,Replan Failure Recovery,9,11_replan_failure_recovery,"Failed planning, braking and later recovery",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/11_replan_failure_recovery.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,GOAL_REACHED,"A laterally moving vehicle wall first blocks distant planning, then the active path, and clears."
12,Conservative Stop Recovery,9,12_stop_recovery,"STOP hysteresis and physical braking",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/12_stop_recovery.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,SAFE_TERMINATION,"Two crossing risks force a genuine stop and then clear without a manual state reset."
13,Rapid Risk Fluctuation,9,13_rapid_risk_fluctuation,"Hysteresis under changing risk",/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/13_rapid_risk_fluctuation.mat,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,EXACT_VERIFIED_INSTRUMENTATION,GOAL_REACHED,"A pedestrian reverses near risk thresholds to exercise governor hysteresis."
