VideoID,Scenario,Phase,File,SourceLog,Outcome,GoalReached,SafeTermination,Collision,Duration,PeakRisk,Replans,ExportStatus,SourceEvaluation,SimulationDuration,SourceSimulationTime,ExpectedFrames,FrameRate,Width,Height,ScreenshotCount,InitialScreenshot,KeyScreenshot,FinalScreenshot,KeySimulationTime,KeyVideoTime,TitleSeconds,FinalSeconds,RecoveryTime,Concept,Challenge,TerminationReason,StatesEncountered,ReplayMode
1,Unmarked Village Road,8,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/phase8/01_village_road.mp4,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/01_village_road.mat,GOAL_REACHED,1,0,0,24.2,0.656296721939051,15,VALIDATED,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,19.6,19.6,242,10,1440,900,3,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/01_village_road/initial.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/01_village_road/highest_risk.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/01_village_road/final.png,13.8,15.3,1.5,3,NaN,"Mixed traffic and adaptive risk","A slow cart and laterally ambiguous pedestrian constrain a narrow unmarked travel corridor without lane assumptions.",Goal reached.,NORMAL -> CAUTIOUS,EXACT_VERIFIED_INSTRUMENTATION
2,Unsignalized Urban Intersection,8,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/phase8/02_urban_intersection.mp4,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/02_urban_intersection.mat,SAFE_TERMINATION,0,1,0,15.6,0.428793352571609,11,VALIDATED,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,11,11,156,10,1440,900,3,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/02_urban_intersection/initial.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/02_urban_intersection/highest_risk.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/02_urban_intersection/final.png,10.4,11.9,1.5,3,NaN,"Safe planning failure guard","Two crossing actors create predicted conflicts without signal logic.",Safely stopped after repeated planning failures.,NORMAL -> CAUTIOUS,EXACT_VERIFIED_INSTRUMENTATION
3,Highway Slow-Vehicle Merge,8,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/phase8/03_highway_merge.mp4,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/03_highway_merge.mat,GOAL_REACHED,1,0,0,21.8,0.65773612416858,7,VALIDATED,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,17.2,17.2,218,10,1440,900,3,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/03_highway_merge/initial.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/03_highway_merge/highest_risk.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/03_highway_merge/final.png,10.4,11.9,1.5,3,NaN,"Prediction-aware merge","A slow lead vehicle and moving lateral constraint create a merge conflict.",Goal reached.,NORMAL -> CAUTIOUS,EXACT_VERIFIED_INSTRUMENTATION
4,Dense Mixed-Traffic Market,8,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/phase8/04_dense_market.mp4,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/04_dense_market.mat,GOAL_REACHED,1,0,0,27.2,0.654911149874324,9,VALIDATED,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,22.6,22.6,272,10,1440,900,3,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/04_dense_market/initial.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/04_dense_market/highest_risk.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/04_dense_market/final.png,14.8,16.3,1.5,3,NaN,"Dense traffic and safe progress","Pedestrian and slow-car traffic generate simultaneous heterogeneous risks.",Goal reached.,NORMAL -> CAUTIOUS,EXACT_VERIFIED_INSTRUMENTATION
5,Sudden Cattle Crossing,8,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/phase8/05_cattle_crossing.mp4,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/05_cattle_crossing.mat,GOAL_REACHED,1,0,0,22.4,0.703692431603923,8,VALIDATED,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,17.8,17.8,224,10,1440,900,3,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/05_cattle_crossing/initial.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/05_cattle_crossing/highest_risk.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/05_cattle_crossing/final.png,13.2,14.7,1.5,3,NaN,"Crossing vulnerability and adaptive envelopes","Cattle approaches from outside the route and creates a sharp crossing risk.",Goal reached.,NORMAL -> CAUTIOUS -> CONSERVATIVE_STOP,READ_ONLY_PHASE12_CACHE
6,Confidence Drop,9,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/phase9/06_confidence_drop.mp4,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/06_confidence_drop.mat,GOAL_REACHED,1,0,0,20.2,0.640793046147539,5,VALIDATED,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,15.6,15.6,202,10,1440,900,3,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/06_confidence_drop/initial.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/06_confidence_drop/highest_risk.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/06_confidence_drop/final.png,9.6,11.1,1.5,3,7,"Confidence and uncertainty awareness","A continuous pedestrian track receives low-confidence measurements, then recovers.",Goal reached.,NORMAL -> CAUTIOUS,EXACT_VERIFIED_INSTRUMENTATION
7,Temporary Detection Loss,9,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/phase9/07_detection_loss.mp4,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/07_detection_loss.mat,GOAL_REACHED,1,0,0,20.2,0.589460860019722,7,VALIDATED,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,15.6,15.6,202,10,1440,900,3,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/07_detection_loss/initial.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/07_detection_loss/highest_risk.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/07_detection_loss/final.png,4.8,6.3,1.5,3,5,"Missed detections and track uncertainty","A moving auto is missed for six frames and later reappears with the same ID.",Goal reached.,NORMAL -> CAUTIOUS,EXACT_VERIFIED_INSTRUMENTATION
8,Sudden Direction Reversal,9,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/phase9/08_direction_reversal.mp4,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/08_direction_reversal.mat,SAFE_TERMINATION,0,1,0,28.6,0.693108548079365,38,VALIDATED,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,23.9999999999999,24.1999999999999,286,10,1440,900,3,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/08_direction_reversal/initial.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/08_direction_reversal/highest_risk.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/08_direction_reversal/final.png,12.6,14.1,1.5,3,12.2,"Direction-sensitive CPA","A pedestrian initially moves away, reverses, and crosses toward the ego corridor.",Maximum simulation time reached safely.,NORMAL -> CAUTIOUS,EXACT_VERIFIED_INSTRUMENTATION
9,Multiple Simultaneous Risks,9,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/phase9/09_multiple_risks.mp4,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/09_multiple_risks.mat,GOAL_REACHED,1,0,0,30.6,0.693594355385676,16,VALIDATED,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,25.9999999999999,25.9999999999999,306,10,1440,900,3,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/09_multiple_risks/initial.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/09_multiple_risks/highest_risk.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/09_multiple_risks/final.png,3.8,5.3,1.5,3,25.9999999999999,"Scene-wide dominant risk selection","A car and pedestrian create overlapping, actor-specific crossing risks.",Goal reached.,NORMAL -> CAUTIOUS,EXACT_VERIFIED_INSTRUMENTATION
10,Temporary Path Obstruction,9,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/phase9/10_temporary_obstruction.mp4,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/videos/all_scenarios/run_20260906_101738_201/replays/10_temporary_obstruction.mat,GOAL_REACHED,1,0,0,24.6,0.476748517225622,13,VALIDATED,/Users/aditya1981/Downloads/SIH_Ps37/results/phase11/run_20260906_050810_702/phase11Evaluation_20260906_050810_702.mat,20,20,246,10,1440,900,3,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/10_temporary_obstruction/initial.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/10_temporary_obstruction/highest_risk.png,/Users/aditya1981/Downloads/SIH_Ps37/results/phase12/screenshots/all_scenarios/run_20260906_101738_201/10_temporary_obstruction/final.png,14.2,15.7,1.5,3,8.2,"Temporary path obstruction","A long crossing vehicle temporarily invalidates the active route and then clears.",Goal reached.,NORMAL -> CAUTIOUS,EXACT_VERIFIED_INSTRUMENTATION
