VideoFrame,VideoTime,Kind,LogFrame,SimulationTime
1,0,TITLE,0,NaN
2,0.1,TITLE,0,NaN
3,0.2,TITLE,0,NaN
4,0.3,TITLE,0,NaN
5,0.4,TITLE,0,NaN
6,0.5,TITLE,0,NaN
7,0.6,TITLE,0,NaN
8,0.7,TITLE,0,NaN
9,0.8,TITLE,0,NaN
10,0.9,TITLE,0,NaN
11,1,TITLE,0,NaN
12,1.1,TITLE,0,NaN
13,1.2,TITLE,0,NaN
14,1.3,TITLE,0,NaN
15,1.4,TITLE,0,NaN
16,1.5,REPLAY,1,0
17,1.6,REPLAY,1,0
18,1.7,REPLAY,2,0.2
19,1.8,REPLAY,2,0.2
20,1.9,REPLAY,3,0.4
21,2,REPLAY,3,0.4
22,2.1,REPLAY,4,0.6
23,2.2,REPLAY,4,0.6
24,2.3,REPLAY,5,0.8
25,2.4,REPLAY,5,0.8
26,2.5,REPLAY,6,1
27,2.6,REPLAY,6,1
28,2.7,REPLAY,7,1.2
29,2.8,REPLAY,7,1.2
30,2.9,REPLAY,8,1.4
31,3,REPLAY,8,1.4
32,3.1,REPLAY,9,1.6
33,3.2,REPLAY,9,1.6
34,3.3,REPLAY,10,1.8
35,3.4,REPLAY,10,1.8
36,3.5,REPLAY,11,2
37,3.6,REPLAY,11,2
38,3.7,REPLAY,12,2.2
39,3.8,REPLAY,12,2.2
40,3.9,REPLAY,13,2.4
41,4,REPLAY,13,2.4
42,4.1,REPLAY,14,2.6
43,4.2,REPLAY,14,2.6
44,4.3,REPLAY,15,2.8
45,4.4,REPLAY,15,2.8
46,4.5,REPLAY,16,3
47,4.6,REPLAY,16,3
48,4.7,REPLAY,17,3.2
49,4.8,REPLAY,17,3.2
50,4.9,REPLAY,18,3.4
51,5,REPLAY,18,3.4
52,5.1,REPLAY,19,3.6
53,5.2,REPLAY,19,3.6
54,5.3,REPLAY,20,3.8
55,5.4,REPLAY,20,3.8
56,5.5,REPLAY,21,4
57,5.6,REPLAY,21,4
58,5.7,REPLAY,22,4.2
59,5.8,REPLAY,22,4.2
60,5.9,REPLAY,23,4.4
61,6,REPLAY,23,4.4
62,6.1,REPLAY,24,4.6
63,6.2,REPLAY,24,4.6
64,6.3,REPLAY,25,4.8
65,6.4,REPLAY,25,4.8
66,6.5,REPLAY,26,5
67,6.6,REPLAY,26,5
68,6.7,REPLAY,27,5.2
69,6.8,REPLAY,27,5.2
70,6.9,REPLAY,28,5.4
71,7,REPLAY,28,5.4
72,7.1,REPLAY,29,5.6
73,7.2,REPLAY,29,5.6
74,7.3,REPLAY,30,5.8
75,7.4,REPLAY,30,5.8
76,7.5,REPLAY,31,6
77,7.6,REPLAY,31,6
78,7.7,REPLAY,32,6.2
79,7.8,REPLAY,32,6.2
80,7.9,REPLAY,33,6.4
81,8,REPLAY,33,6.4
82,8.1,REPLAY,34,6.6
83,8.2,REPLAY,34,6.6
84,8.3,REPLAY,35,6.8
85,8.4,REPLAY,35,6.8
86,8.5,REPLAY,36,7
87,8.6,REPLAY,36,7
88,8.7,REPLAY,37,7.2
89,8.8,REPLAY,37,7.2
90,8.9,REPLAY,38,7.4
91,9,REPLAY,38,7.4
92,9.1,REPLAY,39,7.6
93,9.2,REPLAY,39,7.6
94,9.3,REPLAY,40,7.8
95,9.4,REPLAY,40,7.8
96,9.5,REPLAY,41,8
97,9.6,REPLAY,41,8
98,9.7,REPLAY,42,8.2
99,9.8,REPLAY,42,8.2
100,9.9,REPLAY,43,8.4
101,10,REPLAY,43,8.4
102,10.1,REPLAY,44,8.6
103,10.2,REPLAY,44,8.6
104,10.3,REPLAY,45,8.8
105,10.4,REPLAY,45,8.8
106,10.5,REPLAY,46,9
107,10.6,REPLAY,46,9
108,10.7,REPLAY,47,9.2
109,10.8,REPLAY,47,9.2
110,10.9,REPLAY,48,9.4
111,11,REPLAY,48,9.4
112,11.1,REPLAY,49,9.6
113,11.2,REPLAY,49,9.6
114,11.3,REPLAY,50,9.8
115,11.4,REPLAY,50,9.8
116,11.5,REPLAY,51,10
117,11.6,REPLAY,51,10
118,11.7,REPLAY,52,10.2
119,11.8,REPLAY,52,10.2
120,11.9,REPLAY,53,10.4
121,12,REPLAY,53,10.4
122,12.1,REPLAY,54,10.6
123,12.2,REPLAY,54,10.6
124,12.3,REPLAY,55,10.8
125,12.4,REPLAY,55,10.8
126,12.5,REPLAY,56,11
127,12.6,REPLAY,56,11
128,12.7,REPLAY,57,11.2
129,12.8,REPLAY,57,11.2
130,12.9,REPLAY,58,11.4
131,13,REPLAY,58,11.4
132,13.1,REPLAY,59,11.6
133,13.2,REPLAY,59,11.6
134,13.3,REPLAY,60,11.8
135,13.4,REPLAY,60,11.8
136,13.5,REPLAY,61,12
137,13.6,REPLAY,61,12
138,13.7,REPLAY,62,12.2
139,13.8,REPLAY,62,12.2
140,13.9,REPLAY,63,12.4
141,14,REPLAY,63,12.4
142,14.1,REPLAY,64,12.6
143,14.2,REPLAY,64,12.6
144,14.3,REPLAY,65,12.8
145,14.4,REPLAY,65,12.8
146,14.5,REPLAY,66,13
147,14.6,REPLAY,66,13
148,14.7,REPLAY,67,13.2
149,14.8,REPLAY,67,13.2
150,14.9,REPLAY,68,13.4
151,15,REPLAY,68,13.4
152,15.1,REPLAY,69,13.6
153,15.2,REPLAY,69,13.6
154,15.3,REPLAY,70,13.8
155,15.4,REPLAY,70,13.8
156,15.5,REPLAY,71,14
157,15.6,REPLAY,71,14
158,15.7,REPLAY,72,14.2
159,15.8,REPLAY,72,14.2
160,15.9,REPLAY,73,14.4
161,16,REPLAY,73,14.4
162,16.1,REPLAY,74,14.6
163,16.2,REPLAY,74,14.6
164,16.3,REPLAY,75,14.8
165,16.4,REPLAY,75,14.8
166,16.5,REPLAY,76,15
167,16.6,REPLAY,76,15
168,16.7,REPLAY,77,15.2
169,16.8,REPLAY,77,15.2
170,16.9,REPLAY,78,15.4
171,17,REPLAY,78,15.4
172,17.1,REPLAY,79,15.6
173,17.2,REPLAY,79,15.6
174,17.3,REPLAY,80,15.8
175,17.4,REPLAY,80,15.8
176,17.5,REPLAY,81,16
177,17.6,REPLAY,81,16
178,17.7,REPLAY,82,16.2
179,17.8,REPLAY,82,16.2
180,17.9,REPLAY,83,16.4
181,18,REPLAY,83,16.4
182,18.1,REPLAY,84,16.6
183,18.2,REPLAY,84,16.6
184,18.3,REPLAY,85,16.8
185,18.4,REPLAY,85,16.8
186,18.5,REPLAY,86,17
187,18.6,REPLAY,86,17
188,18.7,REPLAY,87,17.2
189,18.8,REPLAY,87,17.2
190,18.9,REPLAY,88,17.4
191,19,REPLAY,88,17.4
192,19.1,REPLAY,89,17.6
193,19.2,REPLAY,89,17.6
194,19.3,REPLAY,90,17.8
195,19.4,REPLAY,90,17.8
196,19.5,REPLAY,91,18
197,19.6,REPLAY,91,18
198,19.7,REPLAY,92,18.2
199,19.8,REPLAY,92,18.2
200,19.9,REPLAY,93,18.4
201,20,REPLAY,93,18.4
202,20.1,REPLAY,94,18.6
203,20.2,REPLAY,94,18.6
204,20.3,REPLAY,95,18.8
205,20.4,REPLAY,95,18.8
206,20.5,REPLAY,96,19
207,20.6,REPLAY,96,19
208,20.7,REPLAY,97,19.2
209,20.8,REPLAY,97,19.2
210,20.9,REPLAY,98,19.4
211,21,REPLAY,98,19.4
212,21.1,REPLAY,99,19.6
213,21.2,FINAL,99,19.6
214,21.3,FINAL,99,19.6
215,21.4,FINAL,99,19.6
216,21.5,FINAL,99,19.6
217,21.6,FINAL,99,19.6
218,21.7,FINAL,99,19.6
219,21.8,FINAL,99,19.6
220,21.9,FINAL,99,19.6
221,22,FINAL,99,19.6
222,22.1,FINAL,99,19.6
223,22.2,FINAL,99,19.6
224,22.3,FINAL,99,19.6
225,22.4,FINAL,99,19.6
226,22.5,FINAL,99,19.6
227,22.6,FINAL,99,19.6
228,22.7,FINAL,99,19.6
229,22.8,FINAL,99,19.6
230,22.9,FINAL,99,19.6
231,23,FINAL,99,19.6
232,23.1,FINAL,99,19.6
233,23.2,FINAL,99,19.6
234,23.3,FINAL,99,19.6
235,23.4,FINAL,99,19.6
236,23.5,FINAL,99,19.6
237,23.6,FINAL,99,19.6
238,23.7,FINAL,99,19.6
239,23.8,FINAL,99,19.6
240,23.9,FINAL,99,19.6
241,24,FINAL,99,19.6
242,24.1,FINAL,99,19.6
