Time,Type,Description,VideoTime
0,REPLAN,PATH UPDATED: No active path.,1.5
1.8,STATE,NORMAL > CAUTIOUS,3.3
1.8,REPLAN,PATH UPDATED: Governor state changed.,3.3
4.8,REPLAN,PLAN FAILED: Maximum replanning interval elapsed.,6.3
7.4,REPLAN,PLAN FAILED: Upcoming active path is unsafe.,8.9
7.4,PATH,Path unsafe; braking commanded,8.9
7.4,STOP,Zero target speed commanded,8.9
7.6,REPLAN,PLAN FAILED: No active path.,9.1
7.8,REPLAN,PLAN FAILED: No active path.,9.3
8,REPLAN,PLAN FAILED: No active path.,9.5
8.2,REPLAN,PLAN FAILED: No active path.,9.7
8.4,REPLAN,PLAN FAILED: No active path.,9.9
8.6,REPLAN,PLAN FAILED: No active path.,10.1
8.8,REPLAN,PLAN FAILED: No active path.,10.3
9,REPLAN,PATH UPDATED: No active path.,10.5
12.2,REPLAN,PATH UPDATED: Maximum replanning interval elapsed.,13.7
15.4,REPLAN,PATH UPDATED: Maximum replanning interval elapsed.,16.9
18.6,REPLAN,PATH UPDATED: Maximum replanning interval elapsed.,20.1
20,STATE,CAUTIOUS > NORMAL,21.5
20,RECOVERY,Governor relaxes after risk falls,21.5
20,REPLAN,PATH UPDATED: Governor state changed.,21.5
23.1999999999999,REPLAN,PATH UPDATED: Maximum replanning interval elapsed.,24.6999999999999
26.3999999999999,REPLAN,PATH UPDATED: Maximum replanning interval elapsed.,27.8999999999999
27.9999999999999,GOAL,Goal reached,29.4999999999999
